signal,variation,outcome
0.0,0.0,off
4.7,1.1,on
0.1,0.5,off
4.8,1.6,on
0.2,1.0,off
4.9,0.4,on
0.3,1.5,off
5.0,0.9,on
0.4,0.3,off
5.1,1.4,on
0.5,0.8,off
5.2,0.2,on
0.6,1.3,off
4.0,0.7,on
0.7,0.1,off
4.1,1.2,on
0.8,0.6,off
4.2,0.0,on
0.9,1.1,off
4.3,0.5,on
1.0,1.6,off
4.4,1.0,on
1.1,0.4,off
4.5,1.5,on
1.2,0.9,off
4.6,0.3,on
0.0,1.4,off
4.7,0.8,on
0.1,0.2,off
4.8,1.3,on
0.2,0.7,off
4.9,0.1,on
0.3,1.2,off
5.0,0.6,on
0.4,0.0,off
5.1,1.1,on
0.5,0.5,off
5.2,1.6,on
0.6,1.0,off
4.0,0.4,on
0.7,1.5,off
4.1,0.9,on
0.8,0.3,off
4.2,1.4,on
0.9,0.8,off
4.3,0.2,on
1.0,1.3,off
4.4,0.7,on
1.1,0.1,off
4.5,1.2,on
1.2,0.6,off
4.6,0.0,on
0.0,1.1,off
4.7,0.5,on
0.1,1.6,off
4.8,1.0,on
0.2,0.4,off
4.9,1.5,on
0.3,0.9,off
5.0,0.3,on
0.4,1.4,off
5.1,0.8,on
0.5,0.2,off
5.2,1.3,on
0.6,0.7,off
4.0,0.1,on
0.7,1.2,off
4.1,0.6,on
0.8,0.0,off
4.2,1.1,on
0.9,0.5,off
4.3,1.6,on
1.0,1.0,off
4.4,0.4,on
1.1,1.5,off
4.5,0.9,on
1.2,0.3,off
4.6,1.4,on
0.0,0.8,off
4.7,0.2,on
