x,y
0.0,0.0
5.7,-2.7
10.3,-7.1
1.0,0.5
5.6,-3.9
10.2,-6.6
0.9,1.0
5.5,-3.4
10.1,-7.8
0.8,1.5
5.4,-2.9
10.0,-7.3
0.7,0.3
5.3,-2.4
11.0,-6.8
0.6,0.8
5.2,-3.6
10.9,-8.0
0.5,1.3
5.1,-3.1
10.8,-7.5
0.4,0.1
5.0,-2.6
10.7,-7.0
0.3,0.6
6.0,-3.8
10.6,-6.5
0.2,1.1
5.9,-3.3
10.5,-7.7
0.1,1.6
5.8,-2.8
10.4,-7.2
0.0,0.4
5.7,-4.0
10.3,-6.7
1.0,0.9
5.6,-3.5
10.2,-7.9
0.9,1.4
5.5,-3.0
10.1,-7.4
0.8,0.2
5.4,-2.5
10.0,-6.9
0.7,0.7
5.3,-3.7
11.0,-6.4
0.6,1.2
5.2,-3.2
10.9,-7.6
0.5,0.0
5.1,-2.7
10.8,-7.1
0.4,0.5
5.0,-3.9
10.7,-6.6
0.3,1.0
6.0,-3.4
10.6,-7.8
0.2,1.5
5.9,-2.9
10.5,-7.3
0.1,0.3
5.8,-2.4
10.4,-6.8
0.0,0.8
5.7,-3.6
10.3,-8.0
1.0,1.3
5.6,-3.1
10.2,-7.5
0.9,0.1
5.5,-2.6
10.1,-7.0
0.8,0.6
5.4,-3.8
10.0,-6.5
0.7,1.1
5.3,-3.3
11.0,-7.7
0.6,1.6
5.2,-2.8
10.9,-7.2
0.5,0.4
5.1,-4.0
10.8,-6.7
0.4,0.9
5.0,-3.5
10.7,-7.9
