customer_id,age,income,zip_code,region,active,joined,outcome
demo_000,20,,0001,North,false,2024-01-01,left
demo_001,27,2137,0002,East,true,2024-01-02,retained
demo_002,34,2274,0003,West,false,2024-01-03,retained
demo_003,41,2411,0004,North,true,2024-01-04,left
demo_004,48,2548,0005,East,false,2024-01-05,retained
demo_005,55,2685,0001,West,true,2024-01-06,retained
demo_006,62,2822,0002,North,false,2024-01-07,left
demo_007,24,2959,0003,East,true,2024-01-08,retained
demo_008,31,3096,0004,West,false,2024-01-09,retained
demo_009,38,3233,0005,North,true,2024-01-10,left
demo_010,45,3370,0001,East,false,2024-01-11,retained
demo_011,52,3507,0002,West,true,2024-01-12,retained
demo_012,59,3644,0003,North,false,2024-01-13,left
demo_013,21,,0004,East,true,2024-01-14,retained
demo_014,28,3918,0005,West,false,2024-01-15,retained
demo_015,35,4055,0001,North,true,2024-01-16,left
demo_016,42,4192,0002,East,false,2024-01-17,retained
demo_017,49,4329,0003,West,true,2024-01-18,retained
demo_018,56,4466,0004,North,false,2024-01-19,left
demo_019,63,4603,0005,East,true,2024-01-20,retained
demo_020,25,4740,0001,West,false,2024-01-21,retained
demo_021,32,4877,0002,North,true,2024-01-22,left
demo_022,39,5014,0003,East,false,2024-01-23,retained
demo_023,46,5151,0004,West,true,2024-01-24,retained
demo_024,53,5288,0005,North,false,2024-01-25,left
demo_025,60,5425,0001,East,true,2024-01-26,retained
demo_026,22,,0002,West,false,2024-01-27,retained
demo_027,29,5699,0003,North,true,2024-01-28,left
demo_028,36,5836,0004,East,false,2024-01-01,retained
demo_029,43,5973,0005,West,true,2024-01-02,retained
demo_030,50,6110,0001,North,false,2024-01-03,left
demo_031,57,6247,0002,East,true,2024-01-04,retained
demo_032,64,6384,0003,West,false,2024-01-05,retained
demo_033,26,6521,0004,North,true,2024-01-06,left
demo_034,33,6658,0005,East,false,2024-01-07,retained
demo_035,40,6795,0001,West,true,2024-01-08,retained
demo_036,47,6932,0002,North,false,2024-01-09,left
demo_037,54,2069,0003,East,true,2024-01-10,retained
demo_038,61,2206,0004,West,false,2024-01-11,retained
demo_039,23,,0005,North,true,2024-01-12,left
demo_040,30,2480,0001,East,false,2024-01-13,retained
demo_041,37,2617,0002,West,true,2024-01-14,retained
demo_042,44,2754,0003,North,false,2024-01-15,left
demo_043,51,2891,0004,East,true,2024-01-16,retained
demo_044,58,3028,0005,West,false,2024-01-17,retained
demo_045,20,3165,0001,North,true,2024-01-18,left
demo_046,27,3302,0002,East,false,2024-01-19,retained
demo_047,34,3439,0003,West,true,2024-01-20,retained
demo_048,41,3576,0004,North,false,2024-01-21,left
demo_049,48,3713,0005,East,true,2024-01-22,retained
demo_050,55,3850,0001,West,false,2024-01-23,retained
demo_051,62,3987,0002,North,true,2024-01-24,left
demo_052,24,,0003,East,false,2024-01-25,retained
demo_053,31,4261,0004,West,true,2024-01-26,retained
demo_054,38,4398,0005,North,false,2024-01-27,left
demo_055,45,4535,0001,East,true,2024-01-28,retained
demo_056,52,4672,0002,West,false,2024-01-01,retained
demo_057,59,4809,0003,North,true,2024-01-02,left
demo_058,21,4946,0004,East,false,2024-01-03,retained
demo_059,28,5083,0005,West,true,2024-01-04,retained
demo_060,35,5220,0001,North,false,2024-01-05,left
demo_061,42,5357,0002,East,true,2024-01-06,retained
demo_062,49,5494,0003,West,false,2024-01-07,retained
demo_063,56,5631,0004,North,true,2024-01-08,left
demo_064,63,5768,0005,East,false,2024-01-09,retained
demo_065,25,,0001,West,true,2024-01-10,retained
demo_066,32,6042,0002,North,false,2024-01-11,left
demo_067,39,6179,0003,East,true,2024-01-12,retained
demo_068,46,6316,0004,West,false,2024-01-13,retained
demo_069,53,6453,0005,North,true,2024-01-14,left
demo_070,60,6590,0001,East,false,2024-01-15,retained
demo_071,22,6727,0002,West,true,2024-01-16,retained
demo_072,29,6864,0003,North,false,2024-01-17,left
demo_073,36,2001,0004,East,true,2024-01-18,retained
demo_074,43,2138,0005,West,false,2024-01-19,retained
demo_075,50,2275,0001,North,true,2024-01-20,left
demo_076,57,2412,0002,East,false,2024-01-21,retained
demo_077,64,2549,0003,West,true,2024-01-22,retained
demo_078,26,,0004,North,false,2024-01-23,left
demo_079,33,2823,0005,East,true,2024-01-24,retained
demo_080,40,2960,0001,West,false,2024-01-25,retained
demo_081,47,3097,0002,North,true,2024-01-26,left
demo_082,54,3234,0003,East,false,2024-01-27,retained
demo_083,61,3371,0004,West,true,2024-01-28,retained
demo_084,23,3508,0005,North,false,2024-01-01,left
demo_085,30,3645,0001,East,true,2024-01-02,retained
demo_086,37,3782,0002,West,false,2024-01-03,retained
demo_087,44,3919,0003,North,true,2024-01-04,left
demo_088,51,4056,0004,East,false,2024-01-05,retained
demo_089,58,4193,0005,West,true,2024-01-06,retained
