length	width	response
0	0	-0.2
1	7	-8.8
2	3	1.3
3	10	-7.3
4	6	2.8
5	2	12.4
6	9	3.8
7	5	13.9
8	1	24.0
9	8	15.4
10	4	25.0
11	0	35.1
12	7	26.5
13	3	36.6
14	10	28.0
15	6	37.6
16	2	47.7
17	9	39.1
18	5	49.2
19	1	59.3
0	8	-13.8
1	4	-3.7
2	0	6.4
3	7	-2.2
4	3	7.9
5	10	-1.2
6	6	8.9
7	2	19.0
8	9	10.4
9	5	20.5
10	1	30.1
11	8	21.5
12	4	31.6
13	0	41.7
14	7	33.1
15	3	42.7
16	10	34.1
17	6	44.2
18	2	54.3
19	9	45.7
0	5	-8.7
1	1	1.4
2	8	-7.2
3	4	2.9
4	0	13.0
5	7	3.9
6	3	14.0
7	10	5.4
8	6	15.5
9	2	25.6
10	9	16.5
11	5	26.6
12	1	36.7
13	8	28.1
14	4	38.2
15	0	47.8
16	7	39.2
17	3	49.3
18	10	40.7
19	6	50.8
0	2	-3.6
1	9	-12.2
2	5	-2.1
3	1	8.0
4	8	-0.6
5	4	9.0
6	0	19.1
7	7	10.5
8	3	20.6
9	10	12.0
10	6	21.6
11	2	31.7
12	9	23.1
13	5	33.2
14	1	43.3
15	8	34.2
16	4	44.3
17	0	54.4
18	7	45.8
19	3	55.9
